ip_address,hostname,reversed_text
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP nohtyP si emosewa
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP ksalF si nuf
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP nohtyP si emosewa
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP ksalF si nuf
10.244.0.51,python-k8s-api-f4fc9cf54-dgxtm,daolyaP ksalF si nuf
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP olleH dlrow
10.244.0.51,python-k8s-api-f4fc9cf54-dgxtm,daolyaP olleH dlrow
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP ksalF si nuf
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP nohtyP si emosewa
10.244.0.51,python-k8s-api-f4fc9cf54-dgxtm,daolyaP nohtyP si emosewa
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP ksalF si nuf
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP rekcoD si looc
10.244.0.51,python-k8s-api-f4fc9cf54-dgxtm,daolyaP nohtyP si emosewa
10.244.0.51,python-k8s-api-f4fc9cf54-dgxtm,daolyaP nohtyP si emosewa
10.244.0.51,python-k8s-api-f4fc9cf54-dgxtm,daolyaP olleH dlrow
10.244.0.51,python-k8s-api-f4fc9cf54-dgxtm,daolyaP nohtyP si emosewa
10.244.0.51,python-k8s-api-f4fc9cf54-dgxtm,daolyaP olleH dlrow
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP nohtyP si emosewa
10.244.0.51,python-k8s-api-f4fc9cf54-dgxtm,daolyaP olleH dlrow
10.244.0.51,python-k8s-api-f4fc9cf54-dgxtm,daolyaP rekcoD si looc
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP ksalF si nuf
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP ksalF si nuf
10.244.0.51,python-k8s-api-f4fc9cf54-dgxtm,daolyaP nohtyP si emosewa
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP olleH dlrow
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP nohtyP si emosewa
10.244.0.51,python-k8s-api-f4fc9cf54-dgxtm,daolyaP olleH dlrow
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP nohtyP si emosewa
10.244.0.48,python-k8s-api-f4fc9cf54-8pbmj,daolyaP olleH dlrow
