reversed_text,hostname,ip_address
daolyaP rekcoD si looc,python-k8s-api-f4fc9cf54-8pbmj,10.244.0.48
daolyaP rekcoD si looc,python-k8s-api-f4fc9cf54-dgxtm,10.244.0.51
daolyaP ksalF si nuf,python-k8s-api-f4fc9cf54-dgxtm,10.244.0.51
daolyaP nohtyP si emosewa,python-k8s-api-f4fc9cf54-dgxtm,10.244.0.51
daolyaP nohtyP si emosewa,python-k8s-api-f4fc9cf54-dgxtm,10.244.0.51
daolyaP ksalF si nuf,python-k8s-api-f4fc9cf54-8pbmj,10.244.0.48
daolyaP rekcoD si looc,python-k8s-api-f4fc9cf54-dgxtm,10.244.0.51
daolyaP nohtyP si emosewa,python-k8s-api-f4fc9cf54-8pbmj,10.244.0.48
daolyaP rekcoD si looc,python-k8s-api-f4fc9cf54-8pbmj,10.244.0.48
daolyaP olleH dlrow,python-k8s-api-f4fc9cf54-8pbmj,10.244.0.48
daolyaP ksalF si nuf,python-k8s-api-f4fc9cf54-dgxtm,10.244.0.51
daolyaP ksalF si nuf,python-k8s-api-f4fc9cf54-dgxtm,10.244.0.51
daolyaP olleH dlrow,python-k8s-api-f4fc9cf54-dgxtm,10.244.0.51
daolyaP olleH dlrow,python-k8s-api-f4fc9cf54-dgxtm,10.244.0.51
daolyaP rekcoD si looc,python-k8s-api-f4fc9cf54-dgxtm,10.244.0.51
daolyaP olleH dlrow,python-k8s-api-f4fc9cf54-8pbmj,10.244.0.48
daolyaP nohtyP si emosewa,python-k8s-api-f4fc9cf54-8pbmj,10.244.0.48
daolyaP olleH dlrow,python-k8s-api-f4fc9cf54-dgxtm,10.244.0.51
daolyaP ksalF si nuf,python-k8s-api-f4fc9cf54-8pbmj,10.244.0.48
daolyaP nohtyP si emosewa,python-k8s-api-f4fc9cf54-8pbmj,10.244.0.48
daolyaP nohtyP si emosewa,python-k8s-api-f4fc9cf54-8pbmj,10.244.0.48
daolyaP olleH dlrow,python-k8s-api-f4fc9cf54-dgxtm,10.244.0.51
daolyaP olleH dlrow,python-k8s-api-f4fc9cf54-8pbmj,10.244.0.48
daolyaP nohtyP si emosewa,python-k8s-api-f4fc9cf54-8pbmj,10.244.0.48
daolyaP nohtyP si emosewa,python-k8s-api-f4fc9cf54-dgxtm,10.244.0.51
daolyaP nohtyP si emosewa,python-k8s-api-f4fc9cf54-8pbmj,10.244.0.48
